Date,Weekly Deaths,Geography,Comment
2020-01-08,1,United States,Jan 11 2020
2020-01-15,2,United States,Jan 18 2020
2020-01-22,3,United States,Jan 25 2020
2020-01-29,0,United States,Feb  1 2020
2020-02-05,4,United States,Feb  8 2020
2020-02-12,6,United States,Feb 15 2020
2020-02-19,6,United States,Feb 22 2020
2020-02-26,9,United States,Feb 29 2020
2020-03-04,38,United States,Mar  7 2020
2020-03-11,60,United States,Mar 14 2020
2020-03-18,586,United States,Mar 21 2020
2020-03-25,3211,United States,Mar 28 2020
2020-04-01,10113,United States,Apr  4 2020
2020-04-08,16306,United States,Apr 11 2020
2020-04-15,17201,United States,Apr 18 2020
2020-04-22,15525,United States,Apr 25 2020
2020-04-29,13200,United States,May  2 2020
2020-05-06,11223,United States,May  9 2020
2020-05-13,9229,United States,May 16 2020
2020-05-20,7229,United States,May 23 2020
2020-05-27,6160,United States,May 30 2020
2020-06-03,5046,United States,Jun  6 2020
2020-06-10,4227,United States,Jun 13 2020
2020-06-17,3844,United States,Jun 20 2020
2020-06-24,3835,United States,Jun 27 2020
2020-07-01,4540,United States,Jul  4 2020
2020-07-08,5770,United States,Jul 11 2020
2020-07-15,7166,United States,Jul 18 2020
2020-07-22,8229,United States,Jul 25 2020
2020-07-29,8285,United States,Aug  1 2020
2020-08-05,7848,United States,Aug  8 2020
2020-08-12,7248,United States,Aug 15 2020
2020-08-19,6374,United States,Aug 22 2020
2020-08-26,5739,United States,Aug 29 2020
2020-09-02,5010,United States,Sep  5 2020
2020-09-09,4618,United States,Sep 12 2020
2020-09-16,4273,United States,Sep 19 2020
2020-09-23,4296,United States,Sep 26 2020
2020-09-30,4240,United States,Oct  3 2020
2020-10-07,4813,United States,Oct 10 2020
2020-10-14,5195,United States,Oct 17 2020
2020-10-21,5990,United States,Oct 24 2020
2020-10-28,7019,United States,Oct 31 2020
2020-11-04,8754,United States,Nov  7 2020
2020-11-11,10644,United States,Nov 14 2020
2020-11-18,13343,United States,Nov 21 2020
2020-11-25,15615,United States,Nov 28 2020
2020-12-02,18545,United States,Dec  5 2020
2020-12-09,20913,United States,Dec 12 2020
2020-12-16,22314,United States,Dec 19 2020
2020-12-23,23364,United States,Dec 26 2020
2020-12-30,24845,United States,Jan  2 2021
2021-01-06,25974,United States,Jan  9 2021
2021-01-13,25692,United States,Jan 16 2021
2021-01-20,23687,United States,Jan 23 2021
2021-01-27,20322,United States,Jan 30 2021
2021-02-03,17034,United States,Feb  6 2021
2021-02-10,13519,United States,Feb 13 2021
2021-02-17,10807,United States,Feb 20 2021
2021-02-24,8654,United States,Feb 27 2021
2021-03-03,6731,United States,Mar  6 2021
2021-03-10,5725,United States,Mar 13 2021
2021-03-17,4893,United States,Mar 20 2021
2021-03-24,4461,United States,Mar 27 2021
2021-03-31,4197,United States,Apr  3 2021
2021-04-07,4313,United States,Apr 10 2021
2021-04-14,4450,United States,Apr 17 2021
2021-04-21,4601,United States,Apr 24 2021
2021-04-28,4165,United States,May  1 2021
2021-05-05,4006,United States,May  8 2021
2021-05-12,3678,United States,May 15 2021
2021-05-19,3238,United States,May 22 2021
2021-05-26,2770,United States,May 29 2021
2021-06-02,2347,United States,Jun  5 2021
2021-06-09,2035,United States,Jun 12 2021
2021-06-16,1776,United States,Jun 19 2021
2021-06-23,1635,United States,Jun 26 2021
2021-06-30,1543,United States,Jul  3 2021
2021-07-07,1645,United States,Jul 10 2021
2021-07-14,1991,United States,Jul 17 2021
2021-07-21,2760,United States,Jul 24 2021
2021-07-28,4105,United States,Jul 31 2021
2021-08-04,6484,United States,Aug  7 2021
2021-08-11,9406,United States,Aug 14 2021
2021-08-18,12181,United States,Aug 21 2021
2021-08-25,14174,United States,Aug 28 2021
2021-09-01,15493,United States,Sep  4 2021
2021-09-08,15417,United States,Sep 11 2021
2021-09-15,15211,United States,Sep 18 2021
2021-09-22,14347,United States,Sep 25 2021
2021-09-29,12830,United States,Oct  2 2021
2021-10-06,11180,United States,Oct  9 2021
2021-10-13,9878,United States,Oct 16 2021
2021-10-20,8941,United States,Oct 23 2021
2021-10-27,7960,United States,Oct 30 2021
2021-11-03,7287,United States,Nov  6 2021
2021-11-10,7159,United States,Nov 13 2021
2021-11-17,7310,United States,Nov 20 2021
2021-11-24,7886,United States,Nov 27 2021
2021-12-01,8781,United States,Dec  4 2021
2021-12-08,9734,United States,Dec 11 2021
2021-12-15,10250,United States,Dec 18 2021
2021-12-22,10458,United States,Dec 25 2021
2021-12-29,11672,United States,Jan  1 2022
2022-01-05,15117,United States,Jan  8 2022
2022-01-12,19069,United States,Jan 15 2022
2022-01-19,21323,United States,Jan 22 2022
2022-01-26,20947,United States,Jan 29 2022
2022-02-02,18731,United States,Feb  5 2022
2022-02-09,15288,United States,Feb 12 2022
2022-02-16,11541,United States,Feb 19 2022
2022-02-23,8281,United States,Feb 26 2022
2022-03-02,6035,United States,Mar  5 2022
2022-03-09,4397,United States,Mar 12 2022
2022-03-16,3122,United States,Mar 19 2022
2022-03-23,2503,United States,Mar 26 2022
2022-03-30,1906,United States,Apr  2 2022
2022-04-06,1551,United States,Apr  9 2022
2022-04-13,1409,United States,Apr 16 2022
2022-04-20,1346,United States,Apr 23 2022
2022-04-27,1426,United States,Apr 30 2022
2022-05-04,1433,United States,May  7 2022
2022-05-11,1671,United States,May 14 2022
2022-05-18,1743,United States,May 21 2022
2022-05-25,1939,United States,May 28 2022
2022-06-01,2005,United States,Jun  4 2022
2022-06-08,2133,United States,Jun 11 2022
2022-06-15,2191,United States,Jun 18 2022
2022-06-22,2325,United States,Jun 25 2022
2022-06-29,2417,United States,Jul  2 2022
2022-07-06,2585,United States,Jul  9 2022
2022-07-13,2925,United States,Jul 16 2022
2022-07-20,3218,United States,Jul 23 2022
2022-07-27,3396,United States,Jul 30 2022
2022-08-03,3367,United States,Aug  6 2022
2022-08-10,3282,United States,Aug 13 2022
2022-08-17,3160,United States,Aug 20 2022
2022-08-24,3045,United States,Aug 27 2022
2022-08-31,2921,United States,Sep  3 2022
2022-09-07,2799,United States,Sep 10 2022
2022-09-14,2508,United States,Sep 17 2022
2022-09-21,2544,United States,Sep 24 2022
2022-09-28,2371,United States,Oct  1 2022
2022-10-05,2189,United States,Oct  8 2022
2022-10-12,2144,United States,Oct 15 2022
2022-10-19,2187,United States,Oct 22 2022
2022-10-26,2240,United States,Oct 29 2022
2022-11-02,2242,United States,Nov  5 2022
2022-11-09,2192,United States,Nov 12 2022
2022-11-16,2249,United States,Nov 19 2022
2022-11-23,2489,United States,Nov 26 2022
2022-11-30,2579,United States,Dec  3 2022
2022-12-07,3019,United States,Dec 10 2022
2022-12-14,3170,United States,Dec 17 2022
2022-12-21,3300,United States,Dec 24 2022
2022-12-28,3643,United States,Dec 31 2022
2023-01-04,3838,United States,Jan  7 2023
2023-01-11,3656,United States,Jan 14 2023
2023-01-18,3211,United States,Jan 21 2023
2023-01-25,2880,United States,Jan 28 2023
2023-02-01,2608,United States,Feb  4 2023
2023-02-08,2317,United States,Feb 11 2023
2023-02-15,2068,United States,Feb 18 2023
2023-02-22,2125,United States,Feb 25 2023
2023-03-01,1962,United States,Mar  4 2023
2023-03-08,1814,United States,Mar 11 2023
2023-03-15,1720,United States,Mar 18 2023
2023-03-22,1606,United States,Mar 25 2023
2023-03-29,1405,United States,Apr  1 2023
2023-04-05,1323,United States,Apr  8 2023
2023-04-12,1169,United States,Apr 15 2023
2023-04-19,1132,United States,Apr 22 2023
2023-04-26,949,United States,Apr 29 2023
2023-05-03,778,United States,May  6 2023
2023-05-10,570,United States,May 13 2023
2023-05-17,247,United States,May 20 2023
